Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1417,Crestline Brands,Display,Men 25-34,30 days,Instagram,0.0557,"$6,759.87",5.02,Miami,German,522,5456,5,Outdoor Adventurers,13/05/2022
1418,Bright Retail,Search,Women 18-24,45 days,Google Ads,0.0975,"$11,772.42",5.9,Los Angeles,Spanish,287,5981,8,Fashionistas,13/05/2022
1419,TechCorp,Email,Women 18-24,60 days,Instagram,0.0652,"$10,506.95",5.04,Miami,German,595,5131,2,Health & Fitness,13/05/2022
1420,Bright Retail,Email,Women 35-44,15 days,Email,0.0919,"$4,220.30",6.11,Houston,English,836,6303,4,Tech Enthusiasts,13/05/2022
1421,TechCorp,Influencer,Men 35-44,15 days,Instagram,0.0647,"$15,333.96",5.64,Los Angeles,German,446,5422,9,Tech Enthusiasts,13/05/2022
1422,Crestline Brands,Email,Women 18-24,30 days,YouTube,0.087,"$9,139.60",5.2,Houston,English,364,5629,7,Fashionistas,13/05/2022
1423,Alpha Innovations,Social Media,Women 25-34,45 days,Email,0.0713,"$16,541.42",6.24,Chicago,Mandarin,548,6144,4,Fashionistas,13/05/2022
1424,Vertex Media,Social Media,All Ages,60 days,Google Ads,0.0493,"$3,052.55",4.9,Chicago,French,782,5301,6,Health & Fitness,14/05/2022
1425,Bright Retail,Social Media,Women 35-44,60 days,Website,0.0511,"$11,624.00",5.39,Houston,French,289,5424,3,Fashionistas,14/05/2022
1426,TechCorp,Social Media,All Ages,60 days,YouTube,0.0791,"$15,315.53",5.7,Los Angeles,French,876,5234,2,Outdoor Adventurers,14/05/2022
1427,Crestline Brands,Search,Men 25-34,60 days,Instagram,0.0711,"$5,999.80",5.55,Los Angeles,German,568,6171,2,Foodies,14/05/2022
1428,TechCorp,Email,All Ages,15 days,Google Ads,0.0655,"$11,012.03",4.56,Chicago,French,699,5026,3,Foodies,14/05/2022
1429,Crestline Brands,Social Media,Women 35-44,45 days,YouTube,0.0699,"$11,830.91",5.62,Chicago,German,254,4556,1,Fashionistas,14/05/2022
1430,NovaWorks,Email,Women 25-34,45 days,Google Ads,0.0465,"$4,621.59",5.33,Miami,Mandarin,726,6035,1,Health & Fitness,14/05/2022
1431,Alpha Innovations,Email,Women 35-44,30 days,Google Ads,0.0299,"$6,356.15",4.05,Houston,Mandarin,460,5453,6,Health & Fitness,14/05/2022
1432,Peak Fitness Co,Display,Men 35-44,60 days,Instagram,0.0768,"$11,799.90",5.12,Houston,English,598,4666,1,Tech Enthusiasts,14/05/2022
1433,Crestline Brands,Search,Women 25-34,30 days,Website,0.0582,"$15,654.62",5.28,Houston,German,321,5408,10,Foodies,15/05/2022
1434,Crestline Brands,Display,All Ages,45 days,Google Ads,0.0919,"$6,257.12",3.88,Houston,Mandarin,584,6004,2,Outdoor Adventurers,15/05/2022
1435,Crestline Brands,Search,Men 35-44,30 days,Website,0.0746,"$12,557.76",5.18,Houston,Spanish,400,5213,3,Foodies,15/05/2022
1436,NovaWorks,Email,Men 25-34,30 days,Email,0.0618,"$14,390.34",5.09,New York,German,343,5457,2,Tech Enthusiasts,15/05/2022
1437,Alpha Innovations,Influencer,Men 35-44,45 days,Google Ads,0.0679,"$17,572.71",5.41,Chicago,Mandarin,808,4583,7,Fashionistas,15/05/2022
1438,Crestline Brands,Search,Women 25-34,30 days,Website,0.1101,"$11,907.50",5.37,Los Angeles,French,569,5954,8,Fashionistas,15/05/2022
1439,TechCorp,Search,Men 25-34,60 days,Email,0.0847,"$13,219.26",5.18,New York,German,555,5120,3,Health & Fitness,15/05/2022
1440,NovaWorks,Display,Women 18-24,15 days,Instagram,0.0827,"$1,456.62",5.67,New York,French,863,5123,5,Fashionistas,15/05/2022
1441,Vertex Media,Display,Men 35-44,60 days,Email,0.0411,"$14,963.81",5.09,Houston,Mandarin,298,5333,2,Fashionistas,15/05/2022
1442,Crestline Brands,Influencer,Women 18-24,15 days,Email,0.079,"$13,110.30",5.03,Chicago,Mandarin,562,4778,5,Outdoor Adventurers,15/05/2022
1443,Alpha Innovations,Display,Men 35-44,60 days,YouTube,0.0515,"$16,540.53",4.94,Houston,Spanish,521,6004,1,Fashionistas,15/05/2022
1444,Alpha Innovations,Influencer,Women 25-34,30 days,Google Ads,0.0633,"$12,552.79",5.4,New York,Mandarin,429,5017,9,Fashionistas,16/05/2022
1445,Vertex Media,Social Media,Women 18-24,45 days,Instagram,0.0757,"$13,105.92",5.76,Chicago,Mandarin,333,5984,1,Outdoor Adventurers,16/05/2022
1446,Vertex Media,Email,Women 18-24,30 days,Email,0.0795,"$14,015.62",5.06,Chicago,Spanish,618,4878,3,Fashionistas,16/05/2022
1447,Crestline Brands,Influencer,Men 18-24,60 days,Instagram,0.0743,"$1,755.18",5.74,Miami,German,848,5095,3,Tech Enthusiasts,16/05/2022
1448,Crestline Brands,Display,Women 35-44,15 days,Email,0.0633,"$17,663.71",5.6,Houston,French,404,5311,3,Foodies,16/05/2022
1449,Bright Retail,Influencer,Men 18-24,60 days,Email,0.0848,$693.71,5.75,Chicago,English,612,5296,1,Health & Fitness,16/05/2022
1450,Vertex Media,Email,Women 25-34,15 days,YouTube,0.0632,"$14,619.32",4.19,Miami,German,650,6082,9,Foodies,16/05/2022
1451,Alpha Innovations,Influencer,Women 35-44,15 days,Google Ads,0.0651,"$5,560.70",4.97,Houston,Mandarin,849,6253,10,Foodies,16/05/2022
1452,Peak Fitness Co,Social Media,Men 35-44,45 days,YouTube,0.0806,"$19,536.95",5.36,Chicago,Mandarin,461,4792,2,Foodies,16/05/2022
1453,TechCorp,Email,Men 25-34,45 days,Google Ads,0.0842,"$11,184.76",5.41,New York,Mandarin,502,4911,5,Tech Enthusiasts,16/05/2022
1454,TechCorp,Email,Men 35-44,45 days,Website,0.0729,"$19,805.16",5.14,Houston,Mandarin,745,5607,9,Fashionistas,16/05/2022
1455,NovaWorks,Social Media,Women 18-24,30 days,Email,0.0618,"$19,186.79",5.69,Chicago,French,212,6368,1,Health & Fitness,16/05/2022
1456,Alpha Innovations,Display,Women 18-24,15 days,YouTube,0.0649,$659.34,5.2,Los Angeles,English,416,6439,3,Tech Enthusiasts,16/05/2022
1457,Vertex Media,Search,Men 25-34,15 days,Website,0.0806,"$15,651.77",4.76,Los Angeles,Mandarin,563,5686,8,Outdoor Adventurers,16/05/2022
1458,Bright Retail,Search,Women 18-24,45 days,Website,0.0713,"$9,743.09",5.74,Houston,French,833,4691,9,Health & Fitness,16/05/2022
1459,Crestline Brands,Social Media,Women 25-34,45 days,Instagram,0.0727,"$3,085.07",6.25,Miami,English,577,4531,2,Health & Fitness,16/05/2022
1460,Peak Fitness Co,Influencer,Women 35-44,60 days,Google Ads,0.0543,"$8,435.74",4.95,Chicago,Spanish,355,6402,7,Outdoor Adventurers,17/05/2022
1461,Bright Retail,Email,Men 25-34,60 days,Website,0.0792,"$8,636.09",5.52,New York,Mandarin,501,5737,3,Health & Fitness,17/05/2022
1462,TechCorp,Email,Men 18-24,30 days,Website,0.0635,"$5,552.71",4.1,Houston,Spanish,283,4543,10,Outdoor Adventurers,17/05/2022
1463,Vertex Media,Social Media,Women 18-24,60 days,Instagram,0.0864,"$11,378.52",4.81,Los Angeles,Mandarin,484,5920,1,Tech Enthusiasts,17/05/2022
1464,TechCorp,Search,Women 35-44,15 days,YouTube,0.0629,$694.04,4.43,New York,Mandarin,292,5357,7,Foodies,17/05/2022
1465,Bright Retail,Influencer,Women 25-34,60 days,Website,0.0696,"$14,316.95",5.21,Chicago,Spanish,580,5217,6,Tech Enthusiasts,18/05/2022
1466,Alpha Innovations,Influencer,Men 18-24,60 days,Google Ads,0.0671,"$17,653.06",4.69,Miami,Mandarin,744,4719,9,Fashionistas,18/05/2022
1467,Peak Fitness Co,Display,All Ages,15 days,Email,0.0529,"$15,401.34",4.45,Miami,Spanish,399,5032,9,Tech Enthusiasts,18/05/2022
1468,Vertex Media,Social Media,All Ages,30 days,YouTube,0.081,"$1,698.76",4.52,Los Angeles,English,790,4998,6,Foodies,18/05/2022
1469,TechCorp,Search,Men 18-24,60 days,Email,0.0707,"$19,046.70",4.64,Houston,French,336,5378,2,Tech Enthusiasts,18/05/2022
1470,NovaWorks,Search,Women 35-44,45 days,Website,0.0654,"$2,571.17",4.57,Houston,English,208,5851,10,Health & Fitness,18/05/2022
1471,Crestline Brands,Influencer,All Ages,45 days,Instagram,0.0519,"$12,480.13",6.04,Chicago,Spanish,453,5100,6,Health & Fitness,18/05/2022
1472,NovaWorks,Search,Women 25-34,30 days,YouTube,0.0648,"$2,969.73",4.45,Miami,German,737,5897,1,Fashionistas,18/05/2022
1473,Bright Retail,Search,Women 18-24,30 days,Google Ads,0.0667,"$3,812.15",5.23,Houston,Mandarin,644,4884,3,Fashionistas,18/05/2022
1474,Peak Fitness Co,Social Media,Men 25-34,15 days,Website,0.0691,"$14,726.80",4.24,New York,Spanish,484,5550,5,Outdoor Adventurers,18/05/2022
1475,Peak Fitness Co,Search,Men 35-44,60 days,Website,0.0582,"$10,420.60",4.56,New York,Spanish,655,6212,9,Tech Enthusiasts,18/05/2022
1476,TechCorp,Display,Men 18-24,30 days,Instagram,0.0656,"$12,606.02",4.88,Houston,German,501,4986,4,Tech Enthusiasts,19/05/2022
1477,Alpha Innovations,Influencer,Men 35-44,15 days,Google Ads,0.0699,"$3,524.10",4.93,Miami,French,218,5008,10,Outdoor Adventurers,19/05/2022
1478,Crestline Brands,Search,Women 25-34,60 days,Email,0.0566,"$16,608.09",5.24,Los Angeles,English,370,5079,10,Tech Enthusiasts,19/05/2022
1479,TechCorp,Email,All Ages,15 days,Google Ads,0.0733,"$7,614.53",4.2,Houston,Spanish,687,4829,6,Health & Fitness,19/05/2022
1480,Peak Fitness Co,Email,Women 25-34,45 days,Email,0.0679,"$1,031.72",5.91,Houston,Spanish,719,4751,3,Health & Fitness,19/05/2022
1481,Vertex Media,Email,Men 35-44,15 days,Instagram,0.0749,"$14,243.89",5.45,Los Angeles,English,711,6070,5,Tech Enthusiasts,19/05/2022
1482,NovaWorks,Email,All Ages,60 days,Instagram,0.0883,"$12,828.27",4.21,Houston,English,773,4966,6,Tech Enthusiasts,19/05/2022
1483,Alpha Innovations,Email,Women 18-24,60 days,Instagram,0.0641,"$16,853.70",5.36,Chicago,English,532,5151,1,Outdoor Adventurers,19/05/2022
1484,Vertex Media,Social Media,Men 25-34,30 days,Instagram,0.0762,"$17,556.24",5.53,Miami,Spanish,411,6493,10,Outdoor Adventurers,19/05/2022
1485,Vertex Media,Email,Men 25-34,15 days,Instagram,0.059,"$4,820.26",5.07,New York,English,574,5481,2,Foodies,19/05/2022
1486,Peak Fitness Co,Search,Women 18-24,60 days,YouTube,0.044,"$16,738.31",5,Los Angeles,Spanish,401,5712,5,Foodies,19/05/2022
1487,Bright Retail,Influencer,Women 25-34,60 days,Email,0.0856,"$1,389.42",4.17,New York,Spanish,343,6324,10,Outdoor Adventurers,19/05/2022
1488,Bright Retail,Social Media,All Ages,30 days,Instagram,0.0537,"$3,009.09",4.81,New York,Spanish,768,5693,9,Health & Fitness,20/05/2022
1489,Bright Retail,Email,Women 35-44,45 days,Website,0.0656,"$5,015.57",5.1,Houston,Spanish,593,5352,9,Outdoor Adventurers,20/05/2022
1490,Crestline Brands,Search,Women 35-44,30 days,Instagram,0.0659,"$12,628.41",5.15,Chicago,Mandarin,837,4657,6,Health & Fitness,20/05/2022
1491,Crestline Brands,Social Media,Men 18-24,15 days,Website,0.0656,"$19,386.86",4.76,Houston,Spanish,658,6360,1,Outdoor Adventurers,20/05/2022
1492,Peak Fitness Co,Display,Women 18-24,15 days,Email,0.0842,"$12,057.80",5.24,New York,Mandarin,448,5788,3,Outdoor Adventurers,20/05/2022
1493,Vertex Media,Social Media,Men 35-44,45 days,Instagram,0.0702,"$6,907.27",6.57,Los Angeles,English,351,5438,8,Fashionistas,20/05/2022
1494,Vertex Media,Display,Men 18-24,15 days,YouTube,0.0597,"$4,845.28",4.62,Chicago,Spanish,811,6178,5,Tech Enthusiasts,20/05/2022
1495,Crestline Brands,Social Media,Women 25-34,45 days,Instagram,0.09,"$2,766.58",4.45,Chicago,German,346,5200,3,Fashionistas,20/05/2022
1496,TechCorp,Social Media,Women 25-34,15 days,Google Ads,0.0568,"$13,566.86",5.21,Los Angeles,German,812,6183,7,Tech Enthusiasts,20/05/2022
1497,Alpha Innovations,Display,Men 35-44,60 days,Google Ads,0.0628,"$15,317.03",4.57,Houston,French,476,6490,4,Fashionistas,20/05/2022
1498,NovaWorks,Display,Men 35-44,15 days,Website,0.0505,"$2,765.00",5.32,Chicago,Mandarin,492,5857,8,Tech Enthusiasts,20/05/2022
1499,NovaWorks,Search,Women 18-24,30 days,Instagram,0.0738,"$5,513.10",4.13,Miami,German,583,5688,9,Tech Enthusiasts,21/05/2022
1500,Vertex Media,Influencer,Men 25-34,15 days,Website,0.066,"$14,440.80",6.05,Chicago,Spanish,815,4952,8,Health & Fitness,21/05/2022
1501,Crestline Brands,Influencer,Women 35-44,45 days,Email,0.0531,"$4,100.37",5.7,Houston,French,874,5170,7,Outdoor Adventurers,21/05/2022
1502,TechCorp,Social Media,All Ages,60 days,Instagram,0.0661,"$14,243.07",4.79,Chicago,French,662,6201,1,Tech Enthusiasts,21/05/2022
1503,Vertex Media,Influencer,Women 35-44,15 days,Email,0.0903,"$7,891.05",4.2,Miami,German,414,5887,3,Foodies,21/05/2022
1504,NovaWorks,Search,Women 18-24,60 days,Email,0.0699,"$8,932.71",5.32,Miami,Mandarin,541,5945,7,Fashionistas,21/05/2022
1505,Vertex Media,Search,Men 35-44,45 days,Google Ads,0.0517,"$14,262.72",6.16,Houston,French,518,5133,5,Fashionistas,21/05/2022
1506,Crestline Brands,Email,All Ages,30 days,YouTube,0.0808,"$4,231.96",5.86,Los Angeles,Spanish,397,6019,10,Fashionistas,21/05/2022
1507,NovaWorks,Social Media,Women 25-34,45 days,Google Ads,0.081,"$16,371.77",4.91,Miami,French,236,5880,3,Outdoor Adventurers,22/05/2022
1508,Peak Fitness Co,Social Media,Women 18-24,45 days,Email,0.0826,"$4,570.03",5.03,Chicago,German,727,6277,4,Foodies,22/05/2022
1509,Vertex Media,Email,Men 25-34,60 days,Email,0.0584,"$8,346.39",4.22,Los Angeles,French,758,5533,5,Fashionistas,22/05/2022
1510,Alpha Innovations,Email,Men 18-24,45 days,Google Ads,0.0641,"$14,677.27",4.59,Miami,French,896,4509,1,Foodies,22/05/2022
1511,Bright Retail,Influencer,Men 25-34,60 days,Website,0.0776,"$16,489.35",5.53,New York,French,895,5625,4,Outdoor Adventurers,22/05/2022
1512,Peak Fitness Co,Social Media,Men 35-44,60 days,Website,0.0597,"$2,880.13",3.9,Chicago,Mandarin,715,6275,6,Outdoor Adventurers,22/05/2022
1513,TechCorp,Search,Men 18-24,15 days,Google Ads,0.0577,"$16,136.40",4.88,Chicago,Spanish,776,5075,6,Foodies,22/05/2022
1514,NovaWorks,Social Media,Women 25-34,45 days,YouTube,0.1013,"$17,891.09",4.61,Miami,Spanish,571,4603,8,Outdoor Adventurers,22/05/2022
1515,Crestline Brands,Influencer,Men 18-24,60 days,Instagram,0.0669,"$5,384.00",5.07,New York,Mandarin,429,4892,2,Tech Enthusiasts,22/05/2022
1516,Peak Fitness Co,Influencer,Men 35-44,60 days,YouTube,0.0698,"$14,081.94",5.08,Houston,German,363,6197,10,Tech Enthusiasts,22/05/2022
1517,TechCorp,Influencer,Men 18-24,15 days,YouTube,0.0744,"$5,372.86",5.24,Chicago,English,575,5396,4,Outdoor Adventurers,22/05/2022
1518,Alpha Innovations,Social Media,Women 25-34,15 days,Email,0.0684,"$19,880.73",4.8,Houston,German,550,5402,6,Tech Enthusiasts,22/05/2022
1519,NovaWorks,Influencer,Women 18-24,15 days,Website,0.0748,"$2,859.52",5.02,Chicago,Mandarin,872,4776,1,Outdoor Adventurers,22/05/2022
1520,NovaWorks,Influencer,Men 18-24,30 days,Instagram,0.0659,"$14,927.30",4.96,Miami,Mandarin,345,5900,7,Health & Fitness,22/05/2022
1521,Vertex Media,Influencer,Women 35-44,45 days,Email,0.0538,"$6,828.82",3.9,New York,English,457,6293,9,Fashionistas,22/05/2022
1522,Crestline Brands,Display,Women 25-34,45 days,Instagram,0.047,"$14,603.63",4.64,Chicago,German,600,5497,7,Foodies,23/05/2022
1523,Vertex Media,Influencer,Women 18-24,45 days,Google Ads,0.0776,"$5,503.70",4.23,New York,French,765,6418,9,Foodies,23/05/2022
1524,Peak Fitness Co,Search,Men 35-44,30 days,Instagram,0.0684,"$10,419.96",5.2,Chicago,Spanish,760,5567,5,Health & Fitness,23/05/2022
1525,Peak Fitness Co,Search,Women 18-24,30 days,Website,0.0362,"$16,177.89",5.6,Houston,French,623,4836,8,Health & Fitness,23/05/2022
1526,Bright Retail,Display,All Ages,15 days,Instagram,0.0831,"$6,592.16",4.69,Miami,French,645,4594,3,Foodies,23/05/2022
1527,TechCorp,Email,Women 35-44,45 days,Instagram,0.076,"$18,315.07",5.29,New York,French,783,5892,3,Outdoor Adventurers,23/05/2022
1528,TechCorp,Influencer,Women 18-24,30 days,Google Ads,0.0763,"$15,583.13",5.5,Los Angeles,Spanish,281,5543,10,Tech Enthusiasts,23/05/2022
1529,TechCorp,Display,Women 35-44,60 days,YouTube,0.0585,$527.16,4.69,Miami,Spanish,224,5011,6,Outdoor Adventurers,23/05/2022
1530,Crestline Brands,Social Media,All Ages,60 days,Instagram,0.0632,"$2,452.92",5.43,Los Angeles,German,779,4856,10,Fashionistas,23/05/2022
1531,Crestline Brands,Social Media,All Ages,45 days,YouTube,0.0508,"$3,301.98",4.38,Houston,German,382,6385,6,Tech Enthusiasts,23/05/2022
1532,Crestline Brands,Email,Women 18-24,45 days,Google Ads,0.0581,"$19,539.25",5.21,Miami,Spanish,798,5546,5,Foodies,23/05/2022
1533,Bright Retail,Search,Men 18-24,60 days,Google Ads,0.0493,"$3,746.57",5.14,New York,Spanish,460,4530,6,Tech Enthusiasts,23/05/2022
1534,Peak Fitness Co,Search,Women 25-34,45 days,YouTube,0.052,"$13,208.02",4,Houston,French,303,5549,1,Tech Enthusiasts,23/05/2022
1535,Crestline Brands,Search,Men 25-34,60 days,Email,0.0609,"$14,274.99",4.96,Houston,Mandarin,569,5337,7,Health & Fitness,23/05/2022
1536,Crestline Brands,Email,Women 25-34,60 days,YouTube,0.0666,"$10,594.27",5.2,New York,Mandarin,457,5103,4,Tech Enthusiasts,23/05/2022
1537,TechCorp,Search,All Ages,30 days,Website,0.0749,$668.40,5.95,Houston,German,351,5287,8,Health & Fitness,23/05/2022
1538,Alpha Innovations,Email,Women 25-34,60 days,YouTube,0.0627,"$16,795.10",4.57,Chicago,German,575,5987,9,Fashionistas,23/05/2022
1539,NovaWorks,Email,Women 35-44,15 days,Email,0.0463,"$2,226.14",4.62,Chicago,Spanish,464,5786,4,Outdoor Adventurers,23/05/2022
1540,Bright Retail,Social Media,Women 18-24,60 days,YouTube,0.0745,"$5,749.84",4.76,Chicago,Mandarin,498,5003,4,Fashionistas,23/05/2022
1541,Peak Fitness Co,Search,Men 18-24,45 days,Email,0.0702,"$7,554.16",4.68,Los Angeles,French,759,5085,4,Health & Fitness,23/05/2022
1542,Peak Fitness Co,Display,Women 18-24,30 days,Google Ads,0.0545,"$19,250.23",4.11,Los Angeles,Spanish,630,5243,9,Tech Enthusiasts,24/05/2022
1543,TechCorp,Influencer,Men 18-24,30 days,Email,0.0805,"$1,056.31",6.98,Los Angeles,Mandarin,302,4907,7,Outdoor Adventurers,24/05/2022
1544,NovaWorks,Display,Women 18-24,30 days,Google Ads,0.0656,"$8,831.08",6.59,Miami,Spanish,340,5159,3,Health & Fitness,24/05/2022
1545,Crestline Brands,Social Media,Women 35-44,45 days,YouTube,0.0863,"$10,284.30",6.2,New York,Mandarin,494,6100,7,Fashionistas,24/05/2022
1546,TechCorp,Search,Women 18-24,30 days,YouTube,0.0754,"$16,420.10",5.95,Los Angeles,Spanish,201,4501,4,Outdoor Adventurers,24/05/2022
1547,Crestline Brands,Influencer,All Ages,30 days,Instagram,0.0871,"$1,857.08",4.56,New York,French,694,6464,10,Health & Fitness,25/05/2022
1548,Vertex Media,Display,Men 18-24,30 days,Google Ads,0.0757,"$15,948.24",5.76,Los Angeles,English,223,6070,3,Fashionistas,25/05/2022
1549,Peak Fitness Co,Search,Women 25-34,15 days,Website,0.0552,"$10,530.87",5.07,Los Angeles,French,264,5446,3,Fashionistas,25/05/2022
1550,Peak Fitness Co,Display,All Ages,15 days,Email,0.0418,"$9,787.53",4.69,Houston,English,218,5431,7,Health & Fitness,25/05/2022
1551,Vertex Media,Display,Men 25-34,30 days,Website,0.0876,"$7,973.46",4.71,Miami,Spanish,871,4720,3,Tech Enthusiasts,25/05/2022
1552,Vertex Media,Display,Women 35-44,15 days,Email,0.085,"$9,761.55",5.85,Miami,English,846,5956,4,Health & Fitness,25/05/2022
1553,Vertex Media,Social Media,Women 18-24,30 days,Email,0.0495,"$17,416.03",5.78,Chicago,English,713,5323,2,Health & Fitness,25/05/2022
1554,Bright Retail,Search,Men 35-44,45 days,YouTube,0.0642,"$16,864.57",4.92,Los Angeles,English,471,5165,1,Outdoor Adventurers,25/05/2022
1555,Vertex Media,Social Media,Men 25-34,15 days,YouTube,0.0786,"$13,177.17",5.3,Los Angeles,English,343,5597,2,Foodies,25/05/2022
1556,Bright Retail,Social Media,Women 25-34,60 days,Website,0.0959,"$4,154.57",4.39,Los Angeles,French,552,6290,10,Health & Fitness,26/05/2022
1557,Vertex Media,Display,Women 18-24,15 days,YouTube,0.0911,"$1,843.06",4.75,Miami,French,562,5398,8,Health & Fitness,26/05/2022
1558,Alpha Innovations,Search,Men 35-44,15 days,Google Ads,0.0646,"$13,471.16",5.59,Houston,English,253,5469,10,Health & Fitness,26/05/2022
1559,NovaWorks,Email,All Ages,15 days,Instagram,0.0872,"$6,173.13",4.27,Houston,English,390,5231,8,Foodies,26/05/2022
1560,Vertex Media,Email,Women 25-34,30 days,Email,0.0649,"$5,075.04",5.36,Los Angeles,Spanish,302,6271,8,Foodies,26/05/2022
1561,Alpha Innovations,Influencer,Women 18-24,45 days,Google Ads,0.0684,"$6,860.84",5.53,New York,Mandarin,612,4615,8,Outdoor Adventurers,26/05/2022
1562,Alpha Innovations,Search,Women 25-34,15 days,Email,0.0675,"$12,882.48",5.73,Miami,English,465,6289,9,Outdoor Adventurers,27/05/2022
1563,Vertex Media,Email,Men 35-44,30 days,Website,0.0735,"$6,709.60",4.65,New York,French,258,4712,9,Tech Enthusiasts,27/05/2022
1564,Alpha Innovations,Email,Men 35-44,60 days,Email,0.0621,"$16,296.27",4.75,Los Angeles,French,646,4847,6,Outdoor Adventurers,27/05/2022
1565,TechCorp,Search,Women 35-44,45 days,Website,0.049,"$8,883.95",5.69,Houston,Mandarin,345,6194,1,Tech Enthusiasts,27/05/2022
1566,Vertex Media,Email,Women 25-34,60 days,Website,0.0669,"$5,400.52",5.18,Miami,German,891,6492,10,Outdoor Adventurers,27/05/2022
1567,TechCorp,Search,All Ages,30 days,Google Ads,0.0889,"$6,188.97",4.44,Miami,French,860,4850,5,Foodies,27/05/2022
1568,Vertex Media,Social Media,Women 35-44,30 days,Email,0.0864,"$8,206.26",5.83,Chicago,French,827,5881,8,Health & Fitness,27/05/2022
1569,Vertex Media,Influencer,Men 25-34,45 days,Website,0.0912,"$19,164.56",5.73,Miami,Spanish,770,5726,8,Fashionistas,27/05/2022
1570,Vertex Media,Email,Men 25-34,15 days,Website,0.0551,"$8,251.94",5.15,New York,Mandarin,865,4659,1,Outdoor Adventurers,27/05/2022
1571,Vertex Media,Influencer,Women 18-24,15 days,Email,0.089,"$8,970.75",3.91,Miami,Spanish,512,4754,2,Fashionistas,27/05/2022
1572,Crestline Brands,Social Media,Men 35-44,60 days,Website,0.0433,"$12,792.25",5.45,Miami,Spanish,402,5592,9,Outdoor Adventurers,27/05/2022
1573,Peak Fitness Co,Email,Men 35-44,45 days,Instagram,0.0876,"$9,078.04",5.57,New York,English,205,5517,10,Outdoor Adventurers,27/05/2022
1574,Crestline Brands,Social Media,Women 25-34,30 days,Website,0.0609,"$10,255.80",5.97,Chicago,English,454,5911,8,Fashionistas,27/05/2022
1575,NovaWorks,Display,Women 35-44,15 days,Email,0.0798,"$13,857.55",4.42,Chicago,English,835,5621,9,Health & Fitness,27/05/2022
1576,NovaWorks,Email,Men 35-44,15 days,Email,0.0542,"$11,750.08",6.01,New York,Mandarin,434,5025,10,Outdoor Adventurers,27/05/2022
1577,Crestline Brands,Social Media,Women 25-34,30 days,YouTube,0.0597,"$14,638.08",5.39,Los Angeles,English,753,5994,2,Fashionistas,28/05/2022
1578,NovaWorks,Search,Women 18-24,60 days,Email,0.0772,"$16,172.65",4.76,Los Angeles,English,655,5099,2,Outdoor Adventurers,28/05/2022
1579,Vertex Media,Search,Men 18-24,30 days,YouTube,0.0587,"$7,660.32",4.37,Los Angeles,Mandarin,274,5938,9,Health & Fitness,28/05/2022
1580,TechCorp,Search,All Ages,60 days,Instagram,0.0688,"$9,822.13",5.28,Houston,Spanish,808,4775,7,Fashionistas,28/05/2022
1581,Alpha Innovations,Email,All Ages,45 days,Email,0.1031,"$1,622.72",6.37,New York,French,565,5087,9,Tech Enthusiasts,28/05/2022
1582,Bright Retail,Email,Men 18-24,30 days,Email,0.1104,"$7,038.46",4.5,Miami,English,552,6257,5,Foodies,28/05/2022
1583,Peak Fitness Co,Influencer,Men 35-44,15 days,Google Ads,0.0583,"$1,869.44",4.88,Miami,French,892,5995,2,Tech Enthusiasts,28/05/2022
1584,Crestline Brands,Display,Men 18-24,60 days,Website,0.0681,"$2,113.99",4.79,Houston,Spanish,518,6351,3,Tech Enthusiasts,28/05/2022
1585,TechCorp,Search,Men 18-24,45 days,YouTube,0.092,"$2,865.71",5.3,Miami,German,875,5712,1,Health & Fitness,28/05/2022
1586,Bright Retail,Influencer,Men 18-24,30 days,Google Ads,0.0595,"$4,104.18",4.59,Chicago,English,522,4895,9,Foodies,28/05/2022
1587,Peak Fitness Co,Search,Men 25-34,45 days,Email,0.0869,"$7,046.68",4.97,Miami,English,212,6089,6,Fashionistas,28/05/2022
1588,TechCorp,Search,Men 18-24,45 days,Email,0.0594,"$1,336.31",4.47,Los Angeles,Mandarin,516,6109,8,Foodies,28/05/2022
1589,Vertex Media,Email,Women 25-34,45 days,YouTube,0.058,"$7,954.45",4.87,Chicago,English,695,5239,10,Health & Fitness,28/05/2022
1590,Crestline Brands,Email,Women 35-44,60 days,YouTube,0.0765,"$15,824.28",4.45,Los Angeles,Mandarin,776,6034,8,Outdoor Adventurers,29/05/2022
1591,Alpha Innovations,Email,Men 25-34,30 days,Email,0.0705,"$5,888.71",5.72,Miami,Mandarin,657,4538,10,Fashionistas,29/05/2022
1592,NovaWorks,Social Media,Men 25-34,45 days,Website,0.0587,"$16,930.03",4.39,Houston,Mandarin,201,5877,2,Outdoor Adventurers,29/05/2022
1593,Alpha Innovations,Search,All Ages,60 days,Website,0.0884,"$4,523.15",5.47,Miami,German,825,4822,2,Health & Fitness,29/05/2022
1594,Crestline Brands,Social Media,All Ages,15 days,Email,0.0685,"$7,297.28",4.83,Los Angeles,German,687,5317,2,Tech Enthusiasts,29/05/2022
1595,Crestline Brands,Social Media,All Ages,60 days,Website,0.0712,"$5,986.85",4.99,New York,French,560,6029,1,Foodies,29/05/2022
1596,Crestline Brands,Search,Men 18-24,60 days,Instagram,0.0408,"$13,945.05",4.27,New York,Spanish,480,5352,4,Health & Fitness,29/05/2022
